DASH.Open;DASH.High;DASH.Low;DASH.Close;DASH.Volume;DASH.Adjusted
182;195,5;163,8000031;189,5099945;25373700;189,5099945
179,7100067;187,6950073;172,6360016;186;9307600;186
176,5200043;182;168,25;175;4760600;175
169,1000061;170;151,1999969;160;7859600;160
157,1000061;161,4199982;153,7599945;158,8899994;5017000;158,8899994
161,1799927;167,4700012;157,1999969;158,0500031;3061300;158,0500031
159,1000061;161,6600037;149,9499969;154,2100067;6369800;154,2100067
154,2100067;169,9499969;147,3200073;166,3500061;8157800;166,3500061
169,0700073;173,4600067;155;160,2299957;3884200;160,2299957
161,0500031;163,2100067;153,4219971;156,7899933;2386700;156,7899933
155;161,5599976;150,25;158,2200012;1759900;158,2200012
157,3800049;158,6000061;153,0700073;158,4600067;673000;158,4600067
158,25;158,4499969;141,5050049;147,8899994;3807700;147,8899994
146,1199951;147,3999939;139,6399994;141,2700043;3849500;141,2700043
144,3999939;147,9799957;139,8000031;140,1999969;3121100;140,1999969
140,1999969;146,5;135,3800049;142,75;2637300;142,75
142,5;143,6199951;137,1699982;139,1900024;2026400;139,1900024
138;146,1199951;137,8350067;144,4299927;1031800;144,4299927
141,2700043;142;138,2100067;140,0099945;1931400;140,0099945
140;154,6399994;139,4349976;152,7700043;3215200;152,7700043
152;158,3099976;147,3000031;156,0899963;2548700;156,0899963
153,1900024;169;153,1900024;167;2541300;167
165,5;201,9299927;162,6150055;191,9900055;7081800;191,9900055
192,4100037;215,5;188,0700073;198;6058800;198
196,6199951;221,3999939;195,3300018;207,2400055;4512000;207,2400055
207;212,0899963;186,9499969;187,1499939;3351100;187,1499939
191,1900024;202,3000031;185,5399933;198,75;3486200;198,75
200;203,8200073;189,0399933;189,4600067;2066400;189,4600067
191,6100006;195,473999;183,1929932;190,8899994;2339400;190,8899994
190,1999969;197,0700073;187,1100006;192;1679500;192
194,3300018;215,3899994;191,3099976;191,8099976;3430400;191,8099976
198;204,3800049;196,4100037;198,2200012;2363000;198,2200012
200;256,0899963;190,3999939;193,0700073;5918300;193,0700073
198,9900055;201,5;183,4799957;183,8000031;1693000;183,8000031
189,3999939;194,9900055;183,4799957;193,2700043;1851500;193,2700043
194,5899963;203,6699982;187,5630035;191,1699982;1170100;191,1699982
191,9499969;197,6000061;181,6300049;182,5299988;1338900;182,5299988
184,6600037;186,6600037;178,326004;180,5800018;1326100;180,5800018
181,3800049;191,8769989;180,6499939;189,3300018;1142100;189,3300018
189,5700073;190,9160004;180,2449951;181,2299957;1521400;181,2299957
183,4499969;185,4900055;174,2100067;177,4299927;1998000;177,4299927
177,7100067;192,2799988;177,6000061;187,75;2137000;187,75
190,6600037;215,6799927;190;215,1600037;3996900;215,1600037
208,5;222;208,5;213,2599945;1949000;213,2599945
213,0299988;213,5399933;202,5099945;202,9700012;1376300;202,9700012
205,6000061;226,4700012;205;212,1699982;2663400;212,1699982
213,8200073;213,8200073;194,0899963;197,8699951;2013900;197,8699951
194,3000031;201,4100037;188,9100037;200,0599976;1728200;200,0599976
200,0700073;209,1600037;199,2299957;205,9700012;1879200;205,9700012
198;201,9900055;176,3600006;178,0700073;3149200;178,0700073
175,9600067;185,4600067;165,5500031;173,5;3005400;173,5
174,3600006;180,5500031;173,5200043;176,3200073;1984000;176,3200073
174,4100037;182,5549927;163,7299957;166,8699951;4005800;166,8699951
155,5;172,9700012;155,0200043;169,4900055;7579900;169,4900055
171,4400024;173,7899933;164,1999969;168,8899994;4143200;168,8899994
168;170,8000031;155,2200012;160,5899963;5311700;160,5899963
156,6900024;161,3399963;144,5599976;148,25;4070500;148,25
147,3200073;152,4700012;138,8200073;150;4366800;150
150,5;160;138,4499969;151,4799957;6175800;151,4799957
146,4100037;150,3999939;130,0299988;133,4100037;6886100;133,4100037
132,9100037;147,2129974;130;141,4799957;20400000;141,4799957
143,1399994;147,7350006;134,0399933;135,7700043;5398500;135,7700043
140;147,7299957;139,5599976;144,9700012;3612400;144,9700012
139,4799957;145,4600067;136,5500031;142,0299988;3255200;142,0299988
143,7799988;144,0399933;138,0299988;140,6900024;2107900;140,6900024
140,7899933;141,9900055;133,0899963;133,6600037;2477500;133,6600037
133;136,2449951;127,6999969;133,8000031;3286900;133,8000031
131,4559937;134,6699982;129,3139954;130,6199951;2983100;130,6199951
132,0800018;136,6199951;127,1299973;135,0299988;2259400;135,0299988
136;139,4799957;133,4400024;135,9100037;1957900;135,9100037
136,1999969;139,8999939;131,3500061;131,7599945;1886600;131,7599945
131,7700043;132,5399933;124,9000015;125,5299988;2164600;125,5299988
124,8799973;132,7700043;121;131,75;3016600;131,75
131,6300049;136,9900055;129,5700073;134,0099945;2038400;134,0099945
